Clause,Count,Description
5,956,The PDF/UA version and conformance level of a file shall be specified using the PDF/UA Identification extension schema
6.2,200,"The document catalog dictionary shall include a MarkInfo dictionary containing an entry, Marked, whose value shall be true"
7.1,902,Content shall be marked as Artifact or tagged as real content
7.10,1,"Each optional content configuration dictionary that forms the value of the D key, or that is an element in the array that forms the value of the Configs key in the OCProperties dictionary, shall contain the Name key"
7.15,2,Dynamic XFA forms shall not be used
7.18.1,160,"An annotation (except Widget annotations or hidden annotations, or those having rectangle outside the crop-box) shall have either Contents key or an Alt entry in the enclosing structure element"
7.18.3,52,"Every page on which there is an annotation shall contain in its page dictionary the key Tabs, and its value shall be S"
7.18.4,30,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340"
7.18.5,490,"Links shall contain an alternate description via their Contents key as described in ISO 32000-1:2008, 14.9.3"
7.2,705,LI element may contain only Lbl and LBody elements
7.20,8,"The content of Form XObjects shall be incorporated into structure elements according to ISO 32000-1:2008, 14.7.2"
7.21.3.2,14,"ISO 32000-1:2008, 9.7.4, Table 117 requires that all embedded Type 2 CIDFonts in the CIDFont dictionary shall contain a CIDToGIDMap entry that shall be a stream mapping from CIDs to glyph indices or the name Identity, as described in ISO 32000-1:2008, 9.7.4, Table 117"
7.21.3.3,33,"All CMaps used within a PDF/UA file, except those listed in ISO 32000-1:2008, 9.7.5.2, Table 118, shall be embedded in that file as described in ISO 32000-1:2008, 9.7.5"
7.21.4.1,208,"The font programs for all fonts used for rendering within a conforming file shall be embedded within that file, as defined in ISO 32000-1:2008, 9.9"
7.21.4.2,1357,"If the FontDescriptor dictionary of an embedded CID font contains a CIDSet stream, then it shall identify all CIDs which are present in the font program, regardless of whether a CID in the font is referenced or used by the PDF or not"
7.21.5,6,"For every font embedded in a conforming file and used for rendering, the glyph width information in the font dictionary and in the embedded font program shall be consistent"
7.21.6,3,Symbolic TrueType fonts shall not contain an Encoding entry in the font dictionary
7.21.7,95,"The Font dictionary of all fonts shall define the map of all used character codes to Unicode values, either via a ToUnicode entry, or other mechanisms as defined in ISO 14289-1, 7.21.7"
7.21.8,5,"A PDF/UA compliant document shall not contain a reference to the .notdef glyph from any of the text showing operators, regardless of text rendering mode, in any content stream"
7.3,46,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323"
7.4.2,2,"For documents that are not strongly structured, as described in ISO 32000-1:2008, 14.8.4.3.5, heading tags shall be used as follows: (*) If any heading tags are used, H1 shall be the first. (*) A document may use more than one instance of any specific tag level. For example, a tag level may be repeated if document content requires it. (*) If document semantics require a descending sequence of headers, such a sequence shall proceed in strict numerical order and shall not skip an intervening heading level. (*) A document may increment its heading sequence without restarting at H1 if document semantics require it"
7.5,14,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute"
7.9,3,Note tag shall have ID entry
