project,total,remediated,Remediation %,partially remediated,broken,total pages
alameda,2445,2230,91,213,2,13662
alpine,110,90,82,20,0,1314
amdr,1068,832,78,232,5,7400
appellate,745,619,83,124,3,6309
butte,1096,1062,97,34,0,10882
calaveras,741,700,94,41,0,4928
colusa,96,71,74,25,0,1267
contracosta,2346,1837,78,509,0,36040
courts,44843,30765,69,14012,11924,934192
delnorte,103,81,79,22,0,535
eldorado,1986,1700,86,281,7,85981
forms,3639,3072,84,567,0,9539
fresno,4685,4526,97,159,1,114059
glenn,159,132,83,27,0,4153
humboldt,475,451,95,24,0,3381
imperial,838,788,94,50,0,7007
inyo,76,73,96,3,0,746
kern,1012,898,89,114,3,8632
kings,559,454,81,105,0,9332
la,864,814,94,50,4,1111
lake,473,416,88,57,0,4324
lassen,396,359,91,37,0,4203
madera,945,726,77,219,0,14461
marin,1728,1688,98,37,392,25549
mariposa,73,61,84,12,0,309
mendocino,834,765,92,69,0,18964
merced,575,546,95,29,1,7553
modoc,65,55,85,10,0,398
mono,268,251,94,17,1,3608
monterey,792,708,89,84,14,19210
napa,865,794,92,70,91,9915
nccourt,1170,1116,95,54,2,14767
newsroom,987,764,77,223,4,3064
oc,5202,4807,92,393,418,37867
opinions,142260,134521,95,7739,1,2176759
partners,472,343,73,129,0,4763
placer,1421,1091,77,330,9,24115
plumas,92,85,92,7,0,822
riverside,2730,2591,95,139,14,23036
sanbenito,1635,1586,97,49,1,9596
sanbernardino,1354,1187,88,167,1,7016
sanmateo,1509,1268,84,239,6,19723
santabarbara,1832,1706,93,126,1,14336
santaclara,8263,6967,84,1294,2,63284
sc,709,670,94,39,2,3531
sf,2189,1919,88,268,3,25605
shasta,401,358,89,43,1053,2346
sierra,187,136,73,51,1,2587
siskiyou,75,72,96,3,0,961
slo2,702,648,92,54,0,7791
solano,1237,1137,92,100,0,15196
sonoma,5228,4976,95,251,10,29341
srl,226,202,89,24,0,660
stanislaus,1060,947,89,113,8,16488
supremecourt,15353,14554,95,795,9,714524
sutter,511,476,93,35,0,8573
tehama,79,67,85,12,0,710
trinity,1368,1342,98,26,13,6725
tularesuperiorcourt,889,675,76,214,13,17525
tuolumne,563,469,83,92,2,4465
ventura,1326,1178,89,148,4,5196
yuba,300,286,95,14,0,2825
