metric,aggregate,alameda,alpine,amdr,appellate,butte,calaveras,colusa,contracosta,courts,delnorte,eldorado,forms,fresno,glenn,humboldt,imperial,inyo,kern,kings,la,lake,lassen,madera,marin,mariposa,mendocino,merced,modoc,mono,monterey,napa,nccourt,newsroom,oc,opinions,partners,placer,plumas,riverside,sanbenito,sanbernardino,sanmateo,santabarbara,santaclara,sc,sf,shasta,sierra,siskiyou,slo2,solano,sonoma,srl,stanislaus,supremecourt,sutter,tehama,trinity,tularesuperiorcourt,tuolumne,ventura,yuba
total (sum),276230.0,2445,110,1068,745,1096,741,96,2346,44843,103,1986,3639,4685,159,475,838,76,1012,559,864,473,396,945,1728,73,834,575,65,268,792,865,1170,987,5202,142260,472,1421,92,2730,1635,1354,1509,1832,8263,709,2189,401,187,75,702,1237,5228,226,1060,15353,511,79,1368,889,563,1326,300
remediated (sum),245708.0,2230,90,832,619,1062,700,71,1837,30765,81,1700,3072,4526,132,451,788,73,898,454,814,416,359,726,1688,61,765,546,55,251,708,794,1116,764,4807,134521,343,1091,85,2591,1586,1187,1268,1706,6967,670,1919,358,136,72,648,1137,4976,202,947,14554,476,67,1342,675,469,1178,286
Remediation % (avg),88.1,91,82,78,83,97,94,74,78,69,79,86,84,97,83,95,94,96,89,81,94,88,91,77,98,84,92,95,85,94,89,92,95,77,92,95,73,77,92,95,97,88,84,93,84,94,88,89,73,96,92,92,95,89,89,95,93,85,98,76,83,89,95
partially remediated (sum),30424.0,213,20,232,124,34,41,25,509,14012,22,281,567,159,27,24,50,3,114,105,50,57,37,219,37,12,69,29,10,17,84,70,54,223,393,7739,129,330,7,139,49,167,239,126,1294,39,268,43,51,3,54,100,251,24,113,795,35,12,26,214,92,148,14
broken (sum),14025.0,2,0,5,3,0,0,0,0,11924,0,7,0,1,0,0,0,0,3,0,4,0,0,0,392,0,0,1,0,1,14,91,2,4,418,1,0,9,0,14,1,1,6,1,2,2,3,1053,1,0,0,0,10,0,8,9,0,0,13,13,2,4,0
total pages (sum),4633161.0,13662,1314,7400,6309,10882,4928,1267,36040,934192,535,85981,9539,114059,4153,3381,7007,746,8632,9332,1111,4324,4203,14461,25549,309,18964,7553,398,3608,19210,9915,14767,3064,37867,2176759,4763,24115,822,23036,9596,7016,19723,14336,63284,3531,25605,2346,2587,961,7791,15196,29341,660,16488,714524,8573,710,6725,17525,4465,5196,2825
