project,processed total,passed,fail,success %
alameda,2406,1890,516,79%
alpine,107,77,30,72%
amdr,872,806,66,92%
appellate,699,587,112,84%
butte,1088,1022,66,94%
calaveras,739,690,49,93%
colusa,88,70,18,80%
contracosta,2335,1432,903,61%
courts,40609,26852,13757,66%
delnorte,100,79,21,79%
eldorado,3135,2845,290,91%
fresno,4628,4272,356,92%
glenn,153,125,28,82%
humboldt,474,440,34,93%
imperial,819,758,61,93%
inyo,74,70,4,95%
kern,998,878,120,88%
kings,552,423,129,77%
la,869,792,77,91%
lake,454,413,41,91%
lassen,379,329,50,87%
madera,940,640,300,68%
marin,1718,1647,71,96%
mariposa,71,57,14,80%
mendocino,830,439,391,53%
merced,640,557,83,87%
modoc,64,55,9,86%
mono,264,230,34,87%
monterey,785,642,143,82%
napa,861,560,301,65%
nccourt,1165,920,245,79%
newsroom,987,757,230,77%
oc,5085,4170,915,82%
opinions,20395,18430,1965,90%
partners,470,297,173,63%
placer,1418,1066,352,75%
plumas,90,76,14,84%
riverside,2716,2251,465,83%
sanbenito,1623,1564,59,96%
sanbernardino,1299,1164,135,90%
sanmateo,1491,1008,483,68%
santabarbara,1771,1521,250,86%
santaclara,8059,5871,2188,73%
sc,698,619,79,89%
sf,2057,1700,357,83%
shasta,395,235,160,59%
sierra,183,127,56,69%
siskiyou,75,66,9,88%
slo2,697,594,103,85%
solano,1202,1032,170,86%
sonoma,5111,4572,539,89%
srl,218,199,19,91%
stanislaus,1053,788,265,75%
supreme,15316,13845,1471,90%
sutter,501,420,81,84%
tehama,70,59,11,84%
trinity,1365,1335,30,98%
tularesuperiorcourt,879,651,228,74%
tuolumne,478,462,16,97%
ventura,1319,1150,169,87%
yuba,300,277,23,92%
