project,processed total,passed,fail,success %
alameda,2403,1888,515,79%
alpine,107,77,30,72%
amdr,862,769,93,89%
appellate,692,584,108,84%
butte,1088,1022,66,94%
calaveras,732,684,48,93%
colusa,88,70,18,80%
contracosta,2335,1432,903,61%
courts,39146,26194,12952,67%
delnorte,99,79,20,80%
eldorado,3122,2808,314,90%
fresno,4622,4252,370,92%
glenn,152,119,33,78%
humboldt,474,437,37,92%
imperial,819,757,62,92%
inyo,74,69,5,93%
kern,1003,864,139,86%
kings,552,421,131,76%
la,864,717,147,83%
lake,454,272,182,60%
lassen,367,292,75,80%
madera,936,633,303,68%
marin,1716,1626,90,95%
mariposa,71,55,16,77%
mendocino,830,437,393,53%
merced,640,549,91,86%
modoc,64,53,11,83%
mono,264,225,39,85%
monterey,784,597,187,76%
napa,861,560,301,65%
nccourt,1165,917,248,79%
newsroom,988,757,231,77%
oc,5073,4083,990,80%
opinions,20395,18430,1965,90%
partners,457,291,166,64%
placer,1418,1047,371,74%
plumas,90,76,14,84%
riverside,2713,2233,480,82%
sanbenito,1623,1563,60,96%
sanbernardino,1297,1158,139,89%
sanmateo,1489,998,491,67%
santabarbara,1758,1513,245,86%
santaclara,8054,5733,2321,71%
sc,697,617,80,89%
sf,2047,1626,421,79%
shasta,395,235,160,59%
sierra,183,124,59,68%
siskiyou,75,62,13,83%
slo2,694,590,104,85%
solano,1199,1026,173,86%
sonoma,5086,4561,525,90%
srl,216,193,23,89%
stanislaus,1053,774,279,74%
supreme,15307,11767,3540,77%
sutter,500,402,98,80%
tehama,70,59,11,84%
trinity,1365,1331,34,98%
tularesuperiorcourt,879,649,230,74%
tuolumne,448,430,18,96%
ventura,1319,1142,177,87%
yuba,300,277,23,92%
