project,total,remediated,Remediation %,partially remediated,broken
alameda,2459,2115,86,342,2
alpine,110,80,73,30,0
amdr,1068,820,77,244,5
appellate,746,611,82,133,3
butte,1096,1061,97,35,0
calaveras,743,698,94,45,0
colusa,96,71,74,25,0
contracosta,2346,1491,64,855,0
courts,45042,26193,58,18783,11924
delnorte,104,79,76,25,0
eldorado,3301,3017,91,282,4
fresno,4685,4325,92,360,1
glenn,161,127,79,34,0
humboldt,476,450,95,26,0
imperial,838,776,93,62,0
inyo,76,71,93,5,0
kern,1009,895,89,114,3
kings,560,451,81,109,0
la,869,814,94,55,4
lake,473,414,88,59,0
lassen,396,355,90,41,0
madera,945,723,77,222,0
marin,1728,1676,97,49,392
mariposa,73,60,82,13,0
mendocino,834,480,58,354,0
merced,645,549,85,96,1
modoc,65,55,85,10,0
mono,269,239,89,30,1
monterey,792,698,88,94,14
napa,866,600,69,265,91
nccourt,1171,939,80,232,2
newsroom,987,764,77,223,4
oc,5205,4282,82,921,418
opinions,20403,18430,90,1973,1
partners,475,339,71,136,0
placer,1421,1078,76,343,9
plumas,92,78,85,14,0
riverside,2730,2591,95,139,14
sanbenito,1635,1586,97,49,1
sanbernardino,1354,1181,87,173,1
sanmateo,1514,1039,69,473,6
santabarbara,1836,1618,88,218,1
santaclara,8253,6017,73,2236,0
sc,709,665,94,44,2
sf,2189,1876,86,311,3
shasta,401,239,60,162,1053
sierra,187,130,70,57,1
siskiyou,75,72,96,3,0
slo2,702,630,90,72,0
solano,1237,1043,84,194,0
sonoma,5229,4865,93,363,10
srl,226,202,89,24,0
stanislaus,1060,885,83,175,8
supreme,15322,14268,93,1050,9
sutter,511,465,91,46,0
tehama,79,66,84,13,0
trinity,1368,1341,98,27,13
tularesuperiorcourt,888,672,76,216,13
tuolumne,563,469,83,92,2
ventura,1326,1169,88,157,4
yuba,301,278,92,23,0
