file,5-1,7.1-1,7.1-2,7.1-3,7.1-5,7.1-6,7.1-7,7.1-9,7.2-3,7.2-4,7.2-5,7.2-10,7.2-14,7.2-17,7.2-18,7.2-19,7.2-20,7.2-26,7.2-27,7.2-29,7.2-41,7.2-42,7.2-43,7.4.2-1,7.5-1,7.11-1,7.15-1,7.18.1-2,7.18.1-3,7.18.4-1,7.18.5-1,7.18.5-2,7.20-2,7.21.4.1-1,7.21.4.1-2,7.21.4.2-2,7.21.5-1,7.21.6-3,7.21.7-1,7.21.7-2,7.21.8-1
ab1058-2020-flf-ethics-sh-center-guidelines.pdf,,,,,O,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-2020-uifsa-handout.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-ethics-shl-handout2.pdf,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
ab1058-ethics-shl-handout4.pdf,,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-implicit-bias-ppt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-interstate-child-uifsa-2018-handout1.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-interstate-child-uifsa-2018-handout2.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-interstate-child-uifsa-2018-handout4.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-interstate-child-uifsa-2018-ppt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-poverty-handout1.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-poverty-handout2.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-poverty-handout3.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,
ab1058-poverty-handout4.pdf,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-poverty-handout5.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-stars-handout1-2018.pdf,,,,,,,,,,,,,O,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
ab1058-stars-handout2-2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab1058-stars-handout3-2018.pdf,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
ab1058-wellness-ppt.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,O,,
ab129bill-chaptered.pdf,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,
